MatchId;Journee;Stade;Spectateurs;Date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation 
70775;Journée 2;STADE DE LA BEAUJOIRE-LOUIS FONTENEAU;30689;VEN. 12 AOÛT 2022- 21:00;FC NANTES;LOSC LILLE;1;1;30;70;51,9;48,1;52,9;47,1;21;7;0;1;5;11;260;622;15;26;10;16;1;5;1;4;0;0;3-5-2;3-2-2-2-1
70776;Journée 2;ALLIANZ RIVIERA;19525;DIM. 14 AOÛT 2022- 17:05;OGC NICE;RC STRASBOURG ALSACE;1;1;54;46;59,8;40,2;56,3;43,8;6;8;4;0;7;3;532;454;23;14;13;9;3;5;1;4;0;0;2-2-2-3-1;5-3-2
70777;Journée 2;PARC DES PRINCES;47849;SAM. 13 AOÛT 2022- 21:00;PARIS SAINT-GERMAIN;MONTPELLIER HÉRAULT SC;5;2;59;41;52,3;47,7;50;50;14;9;1;1;11;0;611;425;14;4;20;7;10;4;2;1;0;0;3-2-2-1-2;4-1-2-2-1
70778;Journée 2;STADE AUGUSTE-DELAUNE;9456;DIM. 14 AOÛT 2022- 15:00;STADE DE REIMS;CLERMONT FOOT 63;2;4;41,3;58,7;42,2;57,8;46,7;53,3;13;10;0;1;1;6;315;448;12;13;9;10;6;5;3;3;1;0;3-2-2-2-1;3-2-2-2-1
70779;Journée 2;STADE DE L'AUBE;7630;DIM. 14 AOÛT 2022- 15:00;ESTAC TROYES;TOULOUSE FC;0;3;32,4;67,6;55,8;44,2;47,6;52,4;4;5;2;2;6;6;265;575;17;19;12;10;2;4;2;1;0;0;3-2-2-2-1;3-2-2-2-1
71050;Journée 30;STADE FRANÇOIS-COTY;6742;DIM. 9 AVRIL 2023- 15:00;AC AJACCIO;AJ AUXERRE;0;3;56,5;43,5;46,9;53,1;54,8;45,2;13;13;5;1;7;5;435;344;30;12;9;11;2;4;1;3;0;0;2-2-2-2-2;2-2-2-3-1
71051;Journée 30;STADE RAYMOND-KOPA;7669;SAM. 8 AVRIL 2023- 17:00;ANGERS SCO;LOSC LILLE;1;0;33,2;66,8;48;52;45,8;54,2;8;7;0;2;3;6;242;503;12;23;7;15;5;5;2;3;0;0;3-2-3-2;3-2-2-2-1
71052;Journée 30;STADE BOLLAERT-DELELIS;38223;VEN. 7 AVRIL 2023- 21:00;RC LENS;RC STRASBOURG ALSACE;2;1;54,6;45,4;48,6;51,4;48,4;51,6;4;18;0;1;5;1;512;423;12;16;13;13;9;3;1;3;0;1;3-2-2-2-1;2-2-2-3-1
71053;Journée 30;STADE YVES-ALLAINMAT;16767;DIM. 9 AVRIL 2023- 20:45;FC LORIENT;OLYMPIQUE DE MARSEILLE;0;0;39,8;60,2;51,6;48,4;42,1;57,9;11;8;1;0;3;6;361;529;8;24;9;13;5;2;0;2;0;0;3-2-2-2-1;2-2-2-3-1
71054;Journée 30;GROUPAMA STADIUM;44671;DIM. 9 AVRIL 2023- 13:00;OLYMPIQUE LYONNAIS;STADE RENNAIS FC;3;1;59;41;53,3;46,7;46,7;53,3;6;9;4;0;7;2;523;367;19;5;11;11;3;3;2;2;0;0;2-2-1-4-1;3-2-2-2-1
